net,length_um
_011_,100.4µm
net10,100.26µm
net11,86.96µm
_012_,77.42µm
net12,49.44µm
net17,40.42µm
net21,39µm
clknet_1_0__leaf_clk,35.9µm
clk,28.55µm
clknet_1_1__leaf_clk,28.44µm
_033_,28.07µm
net15,27.74µm
net32,27.26µm
net13,25.74µm
_008_,25.72µm
clknet_0_clk,22.94µm
net16,22.545µm
net14,21.8µm
net18,20.92µm
_044_,19.76µm
net31,19.44µm
_031_,19µm
data[0],18.84µm
net19,18.26µm
_037_,18.24µm
_019_,17.98µm
net1,17.2µm
count[1],16.3µm
_017_,15.28µm
enable,14.87µm
_020_,14.1µm
data[1],13.78µm
_046_,13.42µm
net9,12.96µm
_016_,12.28µm
net26,12.1µm
net20,12.06µm
data[6],12.02µm
_030_,11.5µm
net25,11.3µm
data[3],10.79µm
_024_,10.66µm
count[6],10.54µm
_035_,10.44µm
net22,10.44µm
data[2],10.32µm
up_down,10.19µm
_022_,9.68µm
_038_,9.56µm
_029_,9.4µm
_023_,9.02µm
net23,8.6µm
_014_,8.36µm
_050_,8.04µm
data[4],8.01µm
net30,7.94µm
net28,7.79µm
_015_,7.74µm
_032_,7.56µm
net24,7.52µm
_006_,7.485µm
_026_,7.18µm
_034_,7.18µm
count[3],7.11µm
preload,6.79µm
_047_,6.74µm
net8,6.6µm
_028_,6.52µm
net29,6.52µm
count[0],6.45µm
_042_,6.4µm
count[4],6.23µm
resetn,6.23µm
net2,6.2µm
_039_,5.84µm
_013_,5.46µm
_053_,5.34µm
data[7],5.29µm
_007_,5.04µm
_000_,5.02µm
_025_,4.76µm
net7,4.76µm
net34,4.76µm
count[2],4.73µm
count[7],4.73µm
count[5],4.61µm
_021_,4.46µm
data[5],3.81µm
_009_,3.69µm
_051_,3.56µm
_004_,3.42µm
net27,3.42µm
net3,2.98µm
net6,2.98µm
net35,2.96µm
_052_,2.84µm
_001_,2.62µm
_018_,2.52µm
net4,2.39µm
_003_,2.18µm
_043_,2.16µm
net5,2.16µm
_010_,1.84µm
_005_,1.7µm
_041_,1.6µm
_040_,1.38µm
_048_,1.38µm
_002_,1.36µm
_027_,1.36µm
_036_,1.26µm
_049_,1.26µm
_045_,0.92µm
