Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_12_77,VGND,li1,41.1700,43.5200,0.000014
FILLER_0_12_69,VGND,li1,39.1000,43.5200,0.000014
FILLER_0_12_57,VGND,li1,34.5000,43.5200,0.000014
FILLER_0_12_48,VGND,li1,29.4400,43.5200,0.000014
FILLER_0_12_41,VGND,li1,25.3000,43.5200,0.000013
FILLER_0_12_37,VGND,li1,22.7700,43.5200,0.000016
FILLER_0_12_29,VGND,li1,20.7000,43.5200,0.000017
FILLER_0_12_27,VGND,li1,18.1700,43.5200,0.000019
FILLER_0_12_15,VGND,li1,15.1800,43.5200,0.000021
FILLER_0_12_3,VGND,li1,9.6600,43.5200,0.000022
FILLER_0_11_77,VGND,li1,41.1700,43.5200,0.000014
FILLER_0_11_69,VGND,li1,39.1000,43.5200,0.000014
FILLER_0_11_57,VGND,li1,34.5000,43.5200,0.000014
FILLER_0_11_55,VGND,li1,31.0500,43.5200,0.000014
FILLER_0_11_51,VGND,li1,29.9000,43.5200,0.000014
FILLER_0_11_24,VGND,li1,18.4000,43.5200,0.000019
FILLER_0_11_15,VGND,li1,12.8800,43.5200,0.000021
FILLER_0_11_6,VGND,li1,8.7400,43.5200,0.000022
FILLER_0_10_74,VGND,li1,39.7900,38.0800,0.000105
FILLER_0_10_62,VGND,li1,36.8000,38.0800,0.000105
FILLER_0_10_49,VGND,li1,28.2900,38.0800,0.000101
FILLER_0_10_29,VGND,li1,19.5500,38.0800,0.000109
FILLER_0_10_27,VGND,li1,18.1700,38.0800,0.000113
FILLER_0_10_21,VGND,li1,16.5600,38.0800,0.000113
FILLER_0_10_14,VGND,li1,12.1900,38.0800,0.000121
FILLER_0_10_6,VGND,li1,10.1200,38.0800,0.000125
FILLER_0_9_71,VGND,li1,39.1000,38.0800,0.000105
FILLER_0_9_63,VGND,li1,34.7300,38.0800,0.000104
FILLER_0_9_57,VGND,li1,33.1200,38.0800,0.000104
FILLER_0_9_50,VGND,li1,29.9000,38.0800,0.000103
FILLER_0_9_29,VGND,li1,19.0900,38.0800,0.000109
FILLER_0_9_23,VGND,li1,17.4800,38.0800,0.000113
FILLER_0_8_49,VGND,li1,28.2900,32.6400,0.000076
FILLER_0_8_25,VGND,li1,17.7100,32.6400,0.000089
FILLER_0_8_17,VGND,li1,15.1800,32.6400,0.000089
FILLER_0_8_9,VGND,li1,9.8900,32.6400,0.000090
FILLER_0_7_67,VGND,li1,38.1800,32.6400,0.000093
FILLER_0_7_57,VGND,li1,32.4300,32.6400,0.000082
FILLER_0_7_35,VGND,li1,23.0000,32.6400,0.000076
FILLER_0_7_9,VGND,li1,11.0400,32.6400,0.000090
FILLER_0_6_73,VGND,li1,39.5600,27.2000,0.000115
FILLER_0_6_57,VGND,li1,32.6600,27.2000,0.000115
FILLER_0_6_29,VGND,li1,20.7000,27.2000,0.000100
FILLER_0_6_26,VGND,li1,17.9400,27.2000,0.000103
FILLER_0_6_18,VGND,li1,15.6400,27.2000,0.000105
FILLER_0_5_71,VGND,li1,39.1000,27.2000,0.000115
FILLER_0_5_35,VGND,li1,23.0000,27.2000,0.000098
FILLER_0_5_18,VGND,li1,15.6400,27.2000,0.000105
FILLER_0_5_7,VGND,li1,9.4300,27.2000,0.000109
FILLER_0_4_43,VGND,li1,25.5300,21.7600,0.000055
FILLER_0_4_39,VGND,li1,24.3800,21.7600,0.000059
FILLER_0_4_27,VGND,li1,18.1700,21.7600,0.000064
FILLER_0_4_15,VGND,li1,15.1800,21.7600,0.000067
FILLER_0_4_3,VGND,li1,8.7400,21.7600,0.000069
FILLER_0_3_77,VGND,li1,41.1700,21.7600,0.000080
FILLER_0_3_73,VGND,li1,40.0200,21.7600,0.000080
FILLER_0_3_61,VGND,li1,36.3400,21.7600,0.000080
FILLER_0_3_53,VGND,li1,30.5900,21.7600,0.000068
FILLER_0_3_34,VGND,li1,21.3900,21.7600,0.000063
FILLER_0_3_30,VGND,li1,20.2400,21.7600,0.000063
FILLER_0_3_21,VGND,li1,15.4100,21.7600,0.000067
FILLER_0_3_13,VGND,li1,13.3400,21.7600,0.000068
FILLER_0_2_70,VGND,li1,39.5600,16.3200,0.000213
FILLER_0_2_44,VGND,li1,26.4500,16.3200,0.000157
FILLER_0_2_29,VGND,li1,19.5500,16.3200,0.000154
FILLER_0_2_24,VGND,li1,17.4800,16.3200,0.000158
FILLER_0_2_14,VGND,li1,12.6500,16.3200,0.000168
FILLER_0_2_6,VGND,li1,10.1200,16.3200,0.000173
FILLER_0_1_57,VGND,li1,31.9700,16.3200,0.000203
FILLER_0_1_54,VGND,li1,30.8200,16.3200,0.000187
FILLER_0_0_70,VGND,li1,37.9500,10.8800,0.000012
FILLER_0_0_55,VGND,li1,31.0500,10.8800,0.000010
FILLER_0_0_51,VGND,li1,29.9000,10.8800,0.000009
FILLER_0_0_41,VGND,li1,24.6100,10.8800,0.000008
FILLER_0_0_37,VGND,li1,22.7700,10.8800,0.000008
FILLER_0_0_29,VGND,li1,20.7000,10.8800,0.000008
FILLER_0_0_27,VGND,li1,18.1700,10.8800,0.000009
FILLER_0_0_23,VGND,li1,16.3300,10.8800,0.000009
FILLER_0_0_15,VGND,li1,12.6500,10.8800,0.000009
FILLER_0_0_3,VGND,li1,9.6600,10.8800,0.000009
clkload0,VGND,li1,28.5200,21.7600,0.000063
clkbuf_1_1__f_clk,VGND,li1,23.9200,38.0800,0.000099
clkbuf_1_0__f_clk,VGND,li1,31.7400,16.3200,0.000203
clkbuf_0_clk,VGND,li1,27.1400,27.2000,0.000113
output20,VGND,li1,7.5900,43.5200,0.000022
output19,VGND,li1,23.6900,43.5200,0.000016
output18,VGND,li1,40.7100,38.0800,0.000105
output17,VGND,li1,40.7100,32.6400,0.000093
output16,VGND,li1,8.9700,32.6400,0.000090
output15,VGND,li1,7.5900,16.3200,0.000174
output14,VGND,li1,23.6900,10.8800,0.000008
output13,VGND,li1,38.8700,10.8800,0.000012
input12,VGND,li1,8.2800,32.6400,0.000090
input11,VGND,li1,40.4800,10.8800,0.000012
input10,VGND,li1,7.8200,27.2000,0.000109
