Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_12_77,VPWR,li1,41.1700,46.2400,1.799999
FILLER_0_12_69,VPWR,li1,39.1000,46.2400,1.799999
FILLER_0_12_57,VPWR,li1,34.5000,46.2400,1.799999
FILLER_0_12_48,VPWR,li1,29.4400,46.2400,1.799999
FILLER_0_12_41,VPWR,li1,25.3000,46.2400,1.799999
FILLER_0_12_37,VPWR,li1,22.7700,46.2400,1.799999
FILLER_0_12_29,VPWR,li1,20.7000,46.2400,1.799999
FILLER_0_12_27,VPWR,li1,18.1700,46.2400,1.799999
FILLER_0_12_15,VPWR,li1,15.1800,46.2400,1.799999
FILLER_0_12_3,VPWR,li1,9.6600,46.2400,1.799999
FILLER_0_11_77,VPWR,li1,41.1700,40.8000,1.799969
FILLER_0_11_69,VPWR,li1,39.1000,40.8000,1.799969
FILLER_0_11_57,VPWR,li1,34.5000,40.8000,1.799969
FILLER_0_11_55,VPWR,li1,31.0500,40.8000,1.799970
FILLER_0_11_51,VPWR,li1,29.9000,40.8000,1.799971
FILLER_0_11_24,VPWR,li1,18.4000,40.8000,1.799976
FILLER_0_11_15,VPWR,li1,12.8800,40.8000,1.799973
FILLER_0_11_6,VPWR,li1,8.7400,40.8000,1.799972
FILLER_0_10_74,VPWR,li1,39.7900,40.8000,1.799969
FILLER_0_10_62,VPWR,li1,36.8000,40.8000,1.799969
FILLER_0_10_49,VPWR,li1,28.2900,40.8000,1.799971
FILLER_0_10_29,VPWR,li1,19.5500,40.8000,1.799976
FILLER_0_10_27,VPWR,li1,18.1700,40.8000,1.799976
FILLER_0_10_21,VPWR,li1,16.5600,40.8000,1.799973
FILLER_0_10_14,VPWR,li1,12.1900,40.8000,1.799972
FILLER_0_10_6,VPWR,li1,10.1200,40.8000,1.799972
FILLER_0_9_71,VPWR,li1,39.1000,35.3600,1.799827
FILLER_0_9_63,VPWR,li1,34.7300,35.3600,1.799834
FILLER_0_9_57,VPWR,li1,33.1200,35.3600,1.799834
FILLER_0_9_50,VPWR,li1,29.9000,35.3600,1.799844
FILLER_0_9_29,VPWR,li1,19.0900,35.3600,1.799865
FILLER_0_9_23,VPWR,li1,17.4800,35.3600,1.799865
FILLER_0_8_49,VPWR,li1,28.2900,35.3600,1.799844
FILLER_0_8_25,VPWR,li1,17.7100,35.3600,1.799865
FILLER_0_8_17,VPWR,li1,15.1800,35.3600,1.799860
FILLER_0_8_9,VPWR,li1,9.8900,35.3600,1.799853
FILLER_0_7_67,VPWR,li1,38.1800,29.9200,1.799834
FILLER_0_7_57,VPWR,li1,32.4300,29.9200,1.799836
FILLER_0_7_35,VPWR,li1,23.0000,29.9200,1.799865
FILLER_0_7_9,VPWR,li1,11.0400,29.9200,1.799869
FILLER_0_6_73,VPWR,li1,39.5600,29.9200,1.799834
FILLER_0_6_57,VPWR,li1,32.6600,29.9200,1.799836
FILLER_0_6_29,VPWR,li1,20.7000,29.9200,1.799885
FILLER_0_6_26,VPWR,li1,17.9400,29.9200,1.799878
FILLER_0_6_18,VPWR,li1,15.6400,29.9200,1.799872
FILLER_0_5_71,VPWR,li1,39.1000,24.4800,1.799924
FILLER_0_5_35,VPWR,li1,23.0000,24.4800,1.799954
FILLER_0_5_18,VPWR,li1,15.6400,24.4800,1.799958
FILLER_0_5_7,VPWR,li1,9.4300,24.4800,1.799956
FILLER_0_4_43,VPWR,li1,25.5300,24.4800,1.799949
FILLER_0_4_39,VPWR,li1,24.3800,24.4800,1.799954
FILLER_0_4_27,VPWR,li1,18.1700,24.4800,1.799959
FILLER_0_4_15,VPWR,li1,15.1800,24.4800,1.799958
FILLER_0_4_3,VPWR,li1,8.7400,24.4800,1.799956
FILLER_0_3_77,VPWR,li1,41.1700,19.0400,1.799814
FILLER_0_3_73,VPWR,li1,40.0200,19.0400,1.799814
FILLER_0_3_61,VPWR,li1,36.3400,19.0400,1.799814
FILLER_0_3_53,VPWR,li1,30.5900,19.0400,1.799815
FILLER_0_3_34,VPWR,li1,21.3900,19.0400,1.799895
FILLER_0_3_30,VPWR,li1,20.2400,19.0400,1.799892
FILLER_0_3_21,VPWR,li1,15.4100,19.0400,1.799890
FILLER_0_3_13,VPWR,li1,13.3400,19.0400,1.799889
FILLER_0_2_70,VPWR,li1,39.5600,19.0400,1.799814
FILLER_0_2_44,VPWR,li1,26.4500,19.0400,1.799849
FILLER_0_2_29,VPWR,li1,19.5500,19.0400,1.799892
FILLER_0_2_24,VPWR,li1,17.4800,19.0400,1.799891
FILLER_0_2_14,VPWR,li1,12.6500,19.0400,1.799889
FILLER_0_2_6,VPWR,li1,10.1200,19.0400,1.799887
FILLER_0_1_57,VPWR,li1,31.9700,13.6000,1.799910
FILLER_0_1_54,VPWR,li1,30.8200,13.6000,1.799914
FILLER_0_0_70,VPWR,li1,37.9500,13.6000,1.799902
FILLER_0_0_55,VPWR,li1,31.0500,13.6000,1.799914
FILLER_0_0_51,VPWR,li1,29.9000,13.6000,1.799914
FILLER_0_0_41,VPWR,li1,24.6100,13.6000,1.799926
FILLER_0_0_37,VPWR,li1,22.7700,13.6000,1.799931
FILLER_0_0_29,VPWR,li1,20.7000,13.6000,1.799936
FILLER_0_0_27,VPWR,li1,18.1700,13.6000,1.799931
FILLER_0_0_23,VPWR,li1,16.3300,13.6000,1.799927
FILLER_0_0_15,VPWR,li1,12.6500,13.6000,1.799918
FILLER_0_0_3,VPWR,li1,9.6600,13.6000,1.799918
clkload0,VPWR,li1,28.5200,19.0400,1.799830
clkbuf_1_1__f_clk,VPWR,li1,23.9200,35.3600,1.799853
clkbuf_1_0__f_clk,VPWR,li1,31.7400,19.0400,1.799815
clkbuf_0_clk,VPWR,li1,27.1400,29.9200,1.799838
output20,VPWR,li1,7.5900,40.8000,1.799972
output19,VPWR,li1,23.6900,46.2400,1.799999
output18,VPWR,li1,40.7100,40.8000,1.799969
